1001,46803,13968,76170,41293,3410.6
1003,1.0736e+05,24570,1.6545e+05,75553,7408.3
1005,37729,13721,63944,40428,2863.2
1007,42287,13851,68565,40627,3070.1
1009,71892,20349,1.1375e+05,56213,5093.2
1011,44673,14326,74171,42055,3321.1
1013,30617,12001,52420,35629,2347.2
1015,87230,22192,1.3696e+05,61806,6132.5
1017,75101,18729,1.1945e+05,54126,5348.5
1019,80329,22312,1.2765e+05,61247,5715.5
1021,49553,14910,80320,43894,3596.4
1023,28469,11401,48894,34029,2189.3
1025,30253,11720,51485,35265,2305.3
1027,57746,17467,93863,50174,4202.8
1029,79034,21058,1.258e+05,58904,5632.9
1031,44294,13747,73606,39926,3295.8
1033,69694,20569,1.1549e+05,60384,5171.3
1035,37537,12850,63114,38471,2826
1037,53535,16071,86745,47030,3884.1
1039,35453,12691,59882,37452,2681.3
1041,39314,13107,65953,38527,2953.1
1043,68198,19816,1.0822e+05,54956,4845.6
1045,55805,14232,94717,43074,4241.1
1047,38140,13305,63527,39596,2844.5
1049,74046,23686,1.2307e+05,66429,5510.8
1051,56947,15720,91794,46190,4110.2
1053,38593,12361,63715,37144,2852.9
1055,90544,22097,1.4202e+05,61670,6359
1057,52224,15819,82828,45540,3708.7
1059,52459,16319,85634,46858,3834.4
1061,39387,12196,69080,37431,3093.1
1063,31144,12214,52846,36297,2366.2
1065,31931,12402,53894,36859,2413.2
1067,36324,12224,64569,37587,2891.1
1069,45558,12880,78363,39735,3508.8
1071,68649,23609,1.1578e+05,66814,5184.3
1073,1.2302e+05,25560,1.8042e+05,73312,8078.3
1075,39869,14333,66607,41821,2982.4
1077,63936,20080,1.069e+05,59141,4786.6
1079,53998,17072,87303,48285,3909.1
1081,68164,17274,1.0844e+05,50584,4855.7
1083,85076,23163,1.3794e+05,66267,6176.3
1085,56912,15416,92362,45314,4135.6
1087,41856,14378,69878,42213,3128.9
1089,1.0635e+05,27464,1.6991e+05,77761,7608
1091,26791,11421,46150,34267,2066.4
1093,46558,15602,76461,45356,3423.6
1095,65566,19787,1.0501e+05,55241,4702.1
1097,99038,20506,1.5035e+05,63268,6732
1099,35332,12510,59575,37577,2667.6
1101,62473,15994,99908,47373,4473.5
1103,1.1812e+05,25020,1.812e+05,69096,8113.6
1105,36799,12988,61615,38628,2758.9
1107,36604,13474,61270,39525,2743.4
1109,39020,13316,65193,39078,2919.1
1111,55247,17800,90161,50733,4037
1113,79675,18661,1.2699e+05,54702,5686
1115,79083,20634,1.2427e+05,58590,5564.2
1117,1.407e+05,25700,2.0694e+05,73583,9265.9
1119,27659,11775,47861,35020,2143
1121,67103,18881,1.0692e+05,54129,4787.6
1123,53254,16096,86919,46974,3891.9
1125,1.0172e+05,24279,1.5315e+05,68796,6857.3
1127,1.2204e+05,24997,1.7956e+05,69640,8039.9
1129,30805,11446,52181,34363,2336.5
1131,30453,11930,52018,35812,2329.2
1133,44300,15639,72724,44939,3256.3
4001,10186,16840,34665,27218,1552.2
4003,12581,13696,30521,20872,1366.6
4005,11675,17040,36598,27109,1638.7
4007,53716,26832,1.0284e+05,36429,4604.8
4009,10821,13211,27502,20282,1231.4
4011,11099,13296,28329,20599,1268.5
4012,12937,14279,49519,54389,2217.3
4013,1.3758e+05,49719,2.2461e+05,61259,10057
4015,20453,13678,40521,19970,1814.4
4017,9789.2,16232,33150,26023,1484.3
4019,44524,23496,81421,31246,3645.7
4021,78638,30612,1.3145e+05,37003,5886
4023,24977,16009,50630,23377,2267
4025,15487,17137,41350,26447,1851.5
4027,10191,12874,42530,49377,1904.3
5001,39234,16475,69465,48641,3110.4
5003,32760,14482,58999,43603,2641.7
5005,35737,16637,69709,51237,3121.3
5007,51030,17760,91724,52567,4107
5009,33636,16345,66285,50223,2968
5011,26750,13720,49731,41391,2226.8
5013,36277,14639,64021,43993,2866.6
