1001,54572,15128,88139,44130,3946.5
1003,1.367e+05,31095,2.1228e+05,93361,9505
1005,42351,14487,70823,42284,3171.2
1007,49391,14820,78742,43039,3525.7
1009,86561,22877,1.3569e+05,61749,6075.6
1011,52418,15378,86018,44638,3851.6
1013,34736,12676,58717,37293,2629.1
1015,1.042e+05,24868,1.6374e+05,67950,7331.7
1017,88662,20589,1.3999e+05,58678,6268.2
1019,95638,24531,1.5093e+05,66260,6758.1
1021,58265,16197,93251,47082,4175.4
1023,32075,11995,54264,35526,2429.7
1025,34829,12572,58630,37545,2625.2
1027,66525,18853,1.0686e+05,53469,4785
1029,91984,23084,1.4483e+05,63190,6484.8
1031,52031,15044,85832,42894,3843.2
1033,81209,22577,1.337e+05,64896,5986.6
1035,44498,13937,73851,41387,3306.8
1037,62531,17422,1.0014e+05,50271,4483.8
1039,41371,13764,69305,40072,3103.2
1041,45983,14091,76111,40909,3408
1043,81520,22247,1.2826e+05,60223,5743
1045,66919,15863,1.1249e+05,46938,5036.7
1047,44111,14278,72829,42094,3261
1049,86187,26198,1.4234e+05,71585,6373.5
1051,67463,17206,1.0835e+05,49958,4851.4
1053,46629,13602,76305,40491,3416.7
1055,1.0652e+05,24779,1.6687e+05,67537,7472
1057,62541,17126,97959,48772,4386.2
1059,60906,17607,98234,49772,4398.5
1061,46548,13264,80475,40000,3603.4
1063,34923,12752,58430,37600,2616.3
1065,35941,12987,59877,38318,2681.1
1067,41567,12931,72762,39297,3258
1069,53034,14108,90792,42655,4065.3
1071,79713,26005,1.3304e+05,72018,5956.9
1073,1.4839e+05,30754,2.2033e+05,85069,9865.6
1075,45679,15118,75165,43778,3365.6
1077,73187,21863,1.218e+05,63168,5453.7
1079,63857,18523,1.0226e+05,51650,4578.8
1081,80020,18998,1.2738e+05,54867,5703.4
1083,1.0144e+05,25980,1.6352e+05,72490,7321.8
1085,69721,17088,1.1181e+05,49608,5006.3
1087,47686,15222,78605,44334,3519.6
1089,1.2871e+05,31847,2.064e+05,87635,9242
1091,29452,11896,50270,35420,2250.9
1093,53125,16693,86656,47580,3880.1
1095,76302,21758,1.2197e+05,59514,5461.3
1097,1.2361e+05,25875,1.9038e+05,77511,8524.5
1099,41828,13574,69739,40500,3122.7
1101,73062,17925,1.1721e+05,51962,5248.4
1103,1.4742e+05,29074,2.2634e+05,78208,10135
1105,42126,13774,69430,40572,3108.8
1107,41885,14266,69161,41483,3096.8
1109,44955,14253,74535,41325,3337.4
1111,62409,18852,1.0038e+05,53266,4494.9
1113,96919,20911,1.5361e+05,60449,6878.3
1115,94289,23142,1.4765e+05,64484,6611.2
1117,1.7182e+05,30779,2.5224e+05,85153,11294
1119,30525,12253,52020,36207,2329.2
1121,79983,20943,1.2708e+05,58980,5690.3
1123,62367,17343,1.007e+05,50136,4508.8
1125,1.2874e+05,28400,1.9216e+05,79190,8604.4
1127,1.5834e+05,29465,2.32e+05,80703,10388
1129,35926,12287,59932,36613,2683.5
1131,33860,12551,57124,37292,2557.8
1133,50523,16615,81871,47212,3665.8
4001,10961,17134,35902,27511,1607.5
4003,14462,14359,33771,21494,1512.1
4005,13364,17940,39876,28229,1785.5
4007,71295,30951,1.3169e+05,40373,5896.6
4009,12174,13629,29715,20683,1330.5
4011,12317,13649,30250,20919,1354.5
4012,16766,17526,62265,65448,2788
4013,1.6815e+05,65385,2.8237e+05,75450,12644
4015,25783,15497,49709,22064,2225.8
4017,10486,16532,34305,26324,1536
4019,57471,28127,1.0378e+05,36030,4646.7
4021,1.0558e+05,37842,1.756e+05,43857,7862.8
4023,30034,17832,59452,25144,2662
4025,18242,18270,46505,27635,2082.3
4027,13353,15884,53903,59841,2413.6
5001,44911,17346,78145,50515,3499
5003,37029,15113,65300,45040,2923.9
5005,39146,17078,75044,52130,3360.2
5007,59016,19190,1.0485e+05,55169,4694.8
5009,36982,16807,71601,51009,3206
5011,29175,14072,53285,42176,2385.9
5013,41478,15319,71419,45316,3197.9
5015,35044,16426,68205,49547,3054
5017,33658,12102,56073,34964,2510.7
5019,43170,15990,74635,46843,3341.9
5021,55208,19092,94163,54361,4216.3
5023,39467,15879,69073,46343,3092.8
5025,29608,14384,54246,42935,2428.9
5027,30438,19028,66860,24214,2993.7
5029,50606,16965,85508,48419,3828.7
5031,62279,19807,1.0403e+05,56458,4658.2
5033,37595,16493,71980,49663,3223
5035,1.7615e+05,30363,2.6648e+05,84835,11932
5037,53315,18396,90128,53252,4035.6
5039,35192,14955,62661,44443,2805.7
5041,35380,15504,63383,46153,2838.1
5043,36882,15374,65413,45639,2928.9
5045,59691,18158,99473,52253,4454
5047,40237,16947,76036,50837,3404.6
5049,39702,15978,69646,46477,3118.5
5051,80606,19948,1.3067e+05,57287,5851
5053,40843,15784,71302,46622,3192.6
5055,57113,18861,96882,54010,4338
5057,32563,18980,69593,23674,3116.1
5059,70170,18523,1.1494e+05,53480,5146.4
5061,36680,14696,64149,42614,2872.4
5063,41140,16638,72102,48428,3228.4
5065,39230,15849,68889,46208,3084.6
5067,43809,17021,76109,49482,3407.9
5069,43102,16757,75123,48990,3363.7
5071,44773,16356,76952,46408,3445.6
5073,41698,19636,83052,24481,3718.7
5075,42795,16873,74353,48907,3329.3
5077,48288,17780,82664,52068,3701.4
5079,44928,16393,77520,47871,3471
5081,32541,18527,68855,23001,3083
5083,41789,15926,72476,45471,3245.2
5085,44416,16766,76891,48999,3442.9
5087,33133,16321,65449,49346,2930.6
5089,43637,17488,81969,53034,3670.3
5091,35140,19024,73147,23842,3275.2
5093,57949,19272,97513,55724,4366.2
5095,34386,15967,62046,47309,2778.2
5097,32475,14581,58411,42858,2615.4
5099,33851,14374,60142,42530,2692.9
5101,34033,16647,67152,50520,3006.8
5103,31146,14164,56099,42300,2511.9
5105,49975,16600,84630,47959,3789.4
5107,39677,16520,70018,48909,3135.1
5109,34220,14598,60793,42770,2722.1
5111,58147,19307,97759,55456,4377.3
5113,28983,13877,52917,40903,2369.4
5115,45093,16867,77686,48065,3478.5
5117,44783,16979,77648,49680,3476.8
5119,1.144e+05,24698,1.8199e+05,69968,8148.7
5121,44411,17063,76811,49331,3439.3
5123,50255,18168,85692,52935,3836.9
5125,1.2471e+05,25441,1.9732e+05,72022,8835.3
5127,47134,16496,80604,47233,3609.2
5129,40745,15784,71099,45804,3183.5
5131,51503,16263,86624,46343,3878.7
5133,31048,18268,66484,22637,2976.9
5135,43294,16667,75098,48319,3362.6
5137,36608,15483,64888,45251,2905.4
5139,38548,15278,66876,45191,2994.5
5141,42096,16301,73222,47211,3278.6
5143,61700,19865,1.094e+05,56908,4898.5
5145,45867,17348,79408,50505,3555.6
5147,34203,15854,61572,46731,2757
5149,42338,16355,73585,47136,3294.9
6001,5.1126e+05,1.1283e+05,7.9378e+05,2.7196e+05,35543
6003,29470,12672,62722,38955,2808.5
6005,94925,25917,1.7599e+05,73975,7879.9
6007,32758,14625,71063,45095,3181.9
6009,49235,20190,99452,56743,4453.1
6011,51782,22732,1.0767e+05,64246,4821.2
6013,6.8577e+05,1.4488e+05,1.0549e+06,3.4413e+05,47234
6015,11335,5774.8,20240,16645,906.25
6017,57980,21124,1.1597e+05,62566,5192.6
6019,70605,41958,1.5176e+05,1.0548e+05,6795.2
6021,28629,15897,65439,47246,2930.1
6023,11202,6711.9,19893,18391,890.73
6025,24399,20832,75519,72599,3381.5
6027,16266,11606,28876,15693,1292.9
6029,1.6405e+05,44548,1.7259e+05,36528,7728
6031,65553,38093,1.2634e+05,76966,5656.8
6033,43284,22438,94159,62987,4216.1
6035,21111,17962,50902,27369,2279.2
6037,1.7522e+06,6.595e+05,2.3711e+06,1.2228e+06,1.0617e+05
6039,72079,30267,1.4051e+05,76965,6291.4
6041,3.2408e+05,74891,5.2974e+05,1.8853e+05,23720
6043,37950,18742,80037,51715,3583.8
6045,27047,18265,65968,53709,2953.8
6047,88360,44564,1.6654e+05,90630,7457.2
6049,5251.1,3487.6,9714.9,10302,434.99
6051,11977,9818.1,24523,13673,1098
6053,34583,20940,75747,58719,3391.6
6055,1.9799e+05,57920,3.396e+05,1.3817e+05,15206
6057,1.1411e+05,32256,2.1658e+05,95993,9697.7
6059,7.2527e+05,1.9186e+05,1.063e+06,4.2724e+05,47599
6061,1.0569e+05,35381,2.0921e+05,1.0573e+05,9367.7
6063,29799,19643,64774,28606,2900.3
6065,1.9717e+05,1.3425e+05,5.2446e+05,4.4582e+05,23483
6067,2.98e+05,97682,5.013e+05,1.9616e+05,22446
6069,58696,26749,1.2158e+05,76313,5443.9
6071,1.1415e+05,47592,1.6025e+05,51286,7175.3
6073,4.2674e+05,2.0319e+05,8.7149e+05,5.8695e+05,39022
6075,6.7316e+05,1.0853e+05,9.9972e+05,2.6147e+05,44764
6077,2.7361e+05,1.1809e+05,4.8523e+05,2.2139e+05,21727
6079,63344,31482,1.2102e+05,83808,5418.7
6081,3.0327e+05,65508,4.9695e+05,1.7146e+05,22252
6083,68882,42416,1.5974e+05,1.2229e+05,7152.6
6085,3.8872e+05,1.0832e+05,6.6702e+05,2.8918e+05,29867
6087,4.2769e+05,75918,6.9608e+05,2.0416e+05,31168
6089,16395,8372.4,28703,23451,1285.2
6091,15963,9940.1,38791,31281,1736.9
6093,12275,6668.7,22131,19619,990.93
6095,3.9796e+05,99319,6.4663e+05,2.3091e+05,28954
6097,1.3733e+05,53559,2.7248e+05,1.4688e+05,12200
6099,1.4694e+05,71964,2.6889e+05,1.3463e+05,12040
6101,59457,22682,1.1669e+05,62041,5224.9
6103,28817,15159,50946,44021,2281.1
6105,21765,11610,39233,34862,1756.7
6107,55148,22940,91578,23950,4100.5
6109,22574,12706,50899,37730,2279.1
6111,1.917e+05,63167,2.8694e+05,1.5578e+05,12848
6113,2.06e+05,63643,3.5651e+05,1.4659e+05,15963
6115,74350,23009,1.4306e+05,67287,6405.6
8001,1.7065e+05,45754,2.746e+05,50007,12296
