203.74,7798.3,45475,30754,4134.1
1174.1,16489,1.1355e+05,66680,10323
265.67,7178.4,35328,29195,3211.7
155.08,7708.9,39943,29851,3631.2
150.66,11122,69949,43142,6359
229.53,7483.3,41311,30308,3755.6
239.64,6437.4,29200,25703,2654.5
174.65,12028,83478,47259,7588.9
220.25,10544,73916,41495,6719.7
175.84,11819,76816,46178,6983.3
189.92,8373.9,48566,32982,4415.1
371.09,6287.4,26696,24289,2426.9
516.68,6553.2,29462,25842,2678.3
199.37,9434.8,55143,37484,5013
205.81,11197,73784,44131,6707.6
266.14,7291.3,42613,29485,3873.9
270.4,12273,68869,45186,6260.8
281.61,7172.8,37012,28540,3364.7
197.42,8932.5,52602,35371,4782
275.46,6996.2,35293,27837,3208.5
230.62,6922.8,36511,27783,3319.2
147.03,10910,66096,42040,6008.7
196.87,7818.6,56457,32147,5132.5
203.14,7394.2,37005,29127,3364.1
363.55,12016,72268,49613,6569.8
209.82,8792.9,56582,35025,5143.8
307.41,7085.7,39256,28168,3568.7
167.68,12020,85592,47128,7781.1
140.7,8887.9,49110,33665,4464.6
110.72,9612.9,49377,34281,4488.8
246.82,6653.4,40209,27510,3655.3
164.9,6799.8,28853,25828,2623
159.93,6883.2,30070,26462,2733.7
183.02,6541,36607,27096,3327.9
224.43,7160.9,47105,29727,4282.3
353.94,12415,68484,50281,6225.8
146.45,14999,1.1222e+05,59230,10201
142.52,8139.1,37958,30285,3450.7
269.06,11904,62992,44094,5726.6
130.02,10180,53550,36260,4868.2
228.45,9738.5,66802,38565,6072.9
299.74,13311,85971,51078,7815.6
217.49,8616.2,56803,34221,5163.9
220.51,7609.8,39538,30670,3594.4
317.55,15709,1.1041e+05,62515,10037
208.65,6281.3,24949,24370,2268.1
129.29,8906.7,43305,32731,3936.8
158.37,10784,62887,41606,5717
25170,12229,1.0013e+05,52770,9102.3
287.04,7042.9,34874,27864,3170.4
217.27,8989.8,59931,35985,5448.3
145.11,14776,1.2094e+05,55558,10995
191.96,7184.7,34897,28001,3172.5
157.99,7580.7,34638,28545,3148.9
254.84,6953.7,35861,28156,3260.1
217.17,9474.7,52301,37629,4754.7
259.55,10488,80185,42360,7289.6
159.92,11493,76693,45241,6972.1
156.23,15013,1.2862e+05,59321,11693
181.09,6588.7,25814,24859,2346.8
195.75,10473,66119,41422,6010.9
209.28,8838.4,52855,35305,4805
146.12,13810,95900,54279,8718.2
137.72,14311,1.1529e+05,55340,10481
1492.9,6341.1,30047,25074,2731.6
225.68,6531.7,28699,25758,2609
130.79,8865.6,41946,32919,3813.3
4557,10158,19157,19495,1741.5
534.48,8808.4,18168,15413,1651.7
1325.9,10655,21596,20323,1963.3
1055.7,16867,72356,29357,6577.8
737.97,8450.1,15908,14761,1446.2
794.1,8545.1,16117,14885,1465.2
108.03,9576.6,33917,47948,3083.3
681.74,33022,1.559e+05,55551,14172
216.2,8897.4,27590,16250,2508.2
3423.7,9908.4,18314,18724,1664.9
475.55,15249,56988,26279,5180.7
723.27,19841,96890,32089,8808.2
449.87,10493,32211,18095,2928.3
760.01,10831,25401,19989,2309.2
83.688,8769.1,29572,44091,2688.3
120.51,10433,37434,34297,3403.1
133.87,9065.4,31200,30573,2836.3
154.85,12173,37630,36234,3420.9
117.23,14769,56188,38971,5108
136.81,12019,35952,35467,3268.4
120.38,8773.2,26100,28994,2372.7
109.67,9640.2,35424,31152,3220.4
127.69,12080,34813,34570,3164.8
86.151,7397.3,27204,23589,2473.1
82.314,10330,36514,31997,3319.4
177.99,11955,46966,37451,4269.7
95.879,10712,34688,32017,3153.4
111.55,9130.6,27110,29648,2464.5
137.88,13198,33018,16718,3001.6
82.664,11289,43454,33516,3950.4
136.52,13256,51352,38681,4668.3
124.55,11710,37049,34701,3368.1
160.21,18357,1.3483e+05,58523,12257
131.87,11648,44067,36512,4006.1
103.22,9583.3,30594,30455,2781.2
135.15,9261.2,31127,31708,2829.7
127.77,9226.9,30534,30838,2775.8
92.53,11979,51584,36397,4689.4
129.35,11761,38689,35432,3517.2
92.761,11207,34477,31967,3134.3
90.77,13160,68573,40089,6233.9
102.94,10145,35199,32022,3199.9
180.86,12864,48648,37283,4422.5
124.71,13270,33887,16280,3080.6
94.238,11968,57695,36716,5245
71.705,9731.5,31229,29203,2839
108.21,11016,35338,33209,3212.6
89.013,10957,34036,31771,3094.2
113.32,11119,37264,33945,3387.7
111.79,10341,36367,33401,3306.1
72.288,11209,38263,31903,3478.5
127.69,13606,40928,16875,3720.7
117.66,11036,35345,33320,3213.2
139.08,10910,41382,35997,3762
120.08,9985.3,37601,32746,3418.2
115.96,13116,33850,15885,3077.3
65.04,10832,35059,31044,3187.2
104.05,10860,39586,34078,3598.7
125.91,11759,33272,34376,3024.7
147,12527,40814,36777,3710.4
122.46,13404,36691,16512,3335.6
189.53,12041,50125,38911,4556.8
122.15,10037,31141,32767,2831
71.252,10026,29326,29624,2666
84.181,9302.5,29148,29104,2649.8
136.9,11715,33586,35067,3053.3
89.83,9129.1,28176,29210,2561.5
85.959,10931,41690,32884,3790
138.59,10041,35141,33876,3194.7
74.319,9696.1,29980,29413,2725.5
142.71,13084,48689,38162,4426.3
67.479,9599.3,25875,28066,2352.3
77.272,11328,38780,33080,3525.4
108.4,10878,39779,34510,3616.3
97.036,15970,95547,49034,8686.1
117.95,11250,36453,33534,3313.9
135.87,11444,42478,36478,3861.6
95.442,16391,1.0252e+05,50200,9320.2
65.328,11216,40136,32435,3648.7
75.251,11114,35104,31453,3191.2
62.266,11439,44261,32125,4023.7
114,13044,32611,15625,2964.6
99.958,11224,36063,32968,3278.5
87.659,10728,32328,31180,2938.9
97.675,9485.9,33129,31058,3011.8
81.072,11092,36478,32514,3316.2
119.3,15099,58331,40153,5302.8
104.06,11351,40009,34900,3637.2
117.16,10295,30781,32345,2798.3
80.933,10893,36084,32239,3280.3
42.3,47824,4.335e+05,2.0723e+05,39409
63.981,5642.9,29972,27103,2724.7
54.745,12109,97704,55153,8882.2
37.263,6819.1,37444,32509,3404
59.046,8865.4,54187,42157,4926.1
33.099,9834.9,56730,46611,5157.3
40.56,60373,5.7208e+05,2.6043e+05,52007
5.1587,2634.4,10430,11641,948.18
53.416,10078,65142,47004,5922
85.051,16189,83253,79412,7568.5
31.366,7035,34251,34273,3113.7
5.0654,2977.5,10559,13217,959.93
