1001,49122,14853,80373,43824,3598.8
1003,1.1667e+05,26618,1.7941e+05,81641,8033.3
1005,39377,14622,66868,42879,2994.1
1007,43363,14657,71752,43013,3212.8
1009,73806,21438,1.1828e+05,59282,5296.2
1011,45475,15133,75808,44207,3394.4
1013,31864,12749,54768,37771,2452.3
1015,90348,23467,1.4228e+05,65180,6370.8
1017,80489,20164,1.2773e+05,57851,5719.2
1019,84641,23745,1.3443e+05,65046,6019.4
1021,51956,15863,84980,46633,3805.1
1023,29257,12002,50507,35806,2261.5
1025,31663,12428,53991,37329,2417.5
1027,60521,18612,98756,53298,4421.9
1029,82771,22405,1.3163e+05,62435,5894
1031,46153,14635,76882,42358,3442.5
1033,72495,21716,1.2089e+05,63835,5412.9
1035,39188,13685,66059,40799,2957.9
1037,56661,17156,92388,50090,4136.8
1039,37450,13568,63357,39922,2836.9
1041,40083,13835,67592,40553,3026.5
1043,69966,20877,1.1261e+05,57956,5042.1
1045,58453,15142,99417,45662,4451.5
1047,39637,14109,66432,41897,2974.6
1049,76896,25026,1.2842e+05,70154,5750.2
1051,60272,16793,97389,49162,4360.7
1053,40894,13218,67572,39542,3025.6
1055,93461,23355,1.4725e+05,65055,6593.4
1057,52357,16596,85218,47880,3815.7
1059,53872,17145,88609,49280,3967.6
1061,41343,13009,72729,39834,3256.5
1063,31886,12876,54674,38266,2448.1
1065,32847,13106,56061,38937,2510.2
1067,37927,13008,67638,39880,3028.6
1069,48122,13744,82905,42314,3712.2
1071,71624,25007,1.2139e+05,70735,5435.5
1073,1.221e+05,26672,1.8583e+05,76966,8320.7
1075,41143,15118,69426,44150,3108.6
1077,66832,21248,1.1238e+05,62653,5032.1
1079,56725,18133,92375,51249,4136.2
1081,72576,18536,1.1536e+05,53920,5165.5
1083,89433,24634,1.461e+05,70454,6541.6
1085,58882,16279,95998,47748,4298.4
1087,43464,15266,72781,44639,3258.9
1089,1.1371e+05,29489,1.8276e+05,83452,8183.3
1091,27632,12061,47920,36171,2145.7
1093,47789,16406,79185,47752,3545.6
1095,67850,20899,1.0942e+05,58361,4899.5
1097,1.0627e+05,21908,1.6029e+05,67375,7177
1099,36839,13298,62277,39785,2788.5
1101,64959,16966,1.0429e+05,50050,4669.8
1103,1.2577e+05,26774,1.9438e+05,73862,8703.7
1105,37751,13716,63814,40736,2857.3
1107,37748,14210,63823,41709,2857.8
1109,39860,14092,66920,41198,2996.4
1111,59139,19115,96184,54232,4306.8
1113,84242,20051,1.3422e+05,58102,6009.8
1115,82187,21869,1.3053e+05,62094,5844.5
1117,1.4003e+05,26823,2.1323e+05,77285,9547.6
1119,28442,12414,49638,36908,2222.6
1121,70417,20119,1.1288e+05,57556,5054.5
1123,56637,17246,92544,50112,4143.8
1125,99400,25039,1.5554e+05,71488,6964.4
1127,1.1805e+05,25724,1.8081e+05,72181,8096
1129,32213,12113,54623,36345,2445.8
1131,31404,12621,53979,37823,2417
1133,45547,16515,75801,47493,3394.1
4001,11093,18190,37554,29394,1681.5
4003,13777,14833,33258,22565,1489.2
4005,12875,18547,40064,29423,1793.9
4007,60598,29354,1.1395e+05,39713,5102.4
4009,11820,14299,29890,21903,1338.3
4011,12083,14373,30728,22230,1375.9
4012,14252,15897,54552,60067,2442.6
4013,1.5574e+05,55011,2.5031e+05,67552,11208
4015,22810,15180,45311,21972,2028.8
4017,10658,17539,35910,28092,1607.9
4019,49965,25818,90231,34193,4040.2
4021,88943,33716,1.4634e+05,40597,6552.7
4023,27540,17451,55539,25375,2486.8
4025,17263,18659,45565,28711,2040.2
4027,11298,14433,47146,54791,2111
5001,39828,17304,71203,50935,3188.2
5003,33318,15185,60828,45765,2723.7
5005,37190,17507,73055,54194,3271.1
5007,55316,18905,99320,56120,4447.2
5009,35127,17225,69652,53186,3118.8
5011,27352,14422,51553,43569,2308.3
5013,36709,15376,66177,46244,2963.1
5015,33255,16826,66614,51541,2982.7
5017,30288,11950,51446,34851,2303.6
5019,38948,15870,69146,47326,3096.1
5021,48474,18629,84599,54132,3788
5023,36770,16033,66229,47522,2965.5
5025,27963,14751,52808,44400,2364.5
5027,28060,19459,65008,25205,2910.8
5029,44420,16714,76747,48610,3436.4
5031,54623,19338,92679,55967,4149.8
5033,35057,16776,69026,51402,3090.7
5035,1.4631e+05,27168,2.2449e+05,78126,10052
5037,47160,18289,81765,53512,3661.1
5039,32431,15149,59588,45505,2668.1
5041,33067,15796,60812,47417,2722.9
5043,33462,15485,61076,46486,2734.7
5045,54157,17723,91479,52169,4096.1
5047,36659,17188,71686,52457,3209.8
5049,36681,16103,65939,47550,2952.5
5051,70797,19187,1.1617e+05,56287,5201.5
5053,36845,15821,66082,47290,2958.9
5055,50063,18500,86760,53710,3884.8
5057,29560,19305,66770,24609,2989.7
5059,61228,17859,1.0228e+05,52752,4579.8
5061,33093,14720,59655,43463,2671.1
5063,38107,16689,68127,49311,3050.5
5065,36248,15968,65132,47236,2916.4
5067,40569,17118,72483,50625,3245.5
5069,38783,16677,69220,49347,3099.4
5071,39614,16168,69954,46822,3132.3
5073,36340,19787,77326,25334,3462.4
5075,39190,16962,69897,49847,3129.7
5077,43837,17878,77026,52807,3448.9
5079,39400,16431,70351,48468,3150
5081,29682,18849,66223,24004,2965.2
5083,37575,15789,66861,46033,2993.8
5085,40790,16732,71867,49608,3217.9
