"FIPS","NH3","NOX","PM25","SO2","VOCA","A_NH3","A_NOX","A_PM25","A_SO2","A_VOCA","A_NH3_BEN","A_NOX_BEN","A_SO2_BEN","A_PM25_BEN","A_VOCA_BEN"
1075,46894,15974,78201,46244,3501.5,0,-28.239,-0.58164,-0.8693,-16.32,0,-451089.786,-40199.9092,-45484.82964,-57144.48
1077,76194,23195,127990,66984,5730.7,0,-120.47,-2.9296,-4.5604,-72.201,0,-2794301.65,-305473.8336,-374959.504,-413762.2707
1079,66908,19749,108370,54938,4852.6,0,-57.159,-1.2391,-1.8399,-32.496,0,-1128833.091,-101080.4262,-134281.267,-157690.0896
1081,84845,20476,135490,58570,6066.7,0,-153.46,-3.6097,-5.6768,-95.883,0,-3142246.96,-332490.176,-489078.253,-581693.3961
1083,106270,27738,173340,77214,7761.5,0,-138.75,-3.334,-4.4768,-76.99,0,-3848647.5,-345671.6352,-577915.56,-597557.885
1085,71637,18067,115870,52239,5188.2,0,-56.878,-1.1131,-1.5398,-30.414,0,-1027614.826,-80437.6122,-128974.897,-157793.9148
1087,49210,16187,81637,46862,3655.4,0,-84.483,-1.7171,-2.3648,-45.138,0,-1367526.321,-110819.2576,-140178.8927,-164997.4452
1089,137160,34374,222270,94339,9952.2,0,-396.07,-10.184,-14.596,-239.35,0,-13614510.18,-1376972.044,-2263597.68,-2382059.07
1091,30155,12582,52016,37387,2329.1,0,-40.042,-0.8128,-1.4186,-24.256,0,-503808.444,-53037.1982,-42278.6048,-56494.6496
1093,54198,17569,89527,50079,4008.7,0,-75.829,-1.6835,-2.5145,-44.428,0,-1332239.701,-125923.6455,-150718.7045,-178098.5236
1095,78585,23010,126930,62885,5683.4,0,-101.12,-2.4725,-4.1369,-60.324,0,-2326771.2,-260148.9565,-313834.425,-342845.4216
1097,132700,27756,203580,82745,9115.4,0,-512.71,-11.287,-19.57,-329.8,0,-14230778.76,-1619319.65,-2297807.46,-3006258.92
1099,43396,14474,72801,42903,3259.7,0,-33.866,-0.6808,-1.1598,-20.563,0,-490176.484,-49758.8994,-49562.9208,-67029.2111
1101,75610,19038,122170,54887,5470.4,0,-381.03,-8.764,-13.798,-236.38,0,-7254049.14,-757330.826,-1070697.88,-1293093.152
1103,156670,31259,243340,83856,10896,0,-178.99,-4.4884,-6.4317,-105.33,0,-5595048.41,-539336.6352,-1092207.256,-1147675.68
1105,42895,14563,71706,42779,3210.7,0,-21.132,-0.414,-0.67181,-12.518,0,-307745.316,-28739.35999,-29686.284,-40191.5426
1107,42963,15069,71929,43795,3220.7,0,-36.816,-0.74398,-1.1656,-21.547,0,-554780.304,-51047.452,-53513.73742,-69396.4229
1109,45558,15077,76120,43492,3408.3,0,-57.948,-1.2151,-1.9892,-35.285,0,-873681.996,-86514.2864,-92493.412,-120261.8655
1111,66552,20304,107020,57016,4792,0,-28.553,-0.63806,-0.97433,-16.785,0,-579740.112,-55552.39928,-68285.1812,-80433.72
1113,102020,22578,162170,64248,7261.2,0,-91.064,-2.0317,-3.3772,-57.067,0,-2056042.992,-216978.3456,-329480.789,-414374.9004
1115,97470,24587,155010,68417,6940.9,0,-175.52,-3.8095,-5.0407,-93.253,0,-4315510.24,-344869.5719,-590510.595,-647259.7477
1117,170030,32146,259810,89478,11633,0,-215.71,-5.0601,-8.3473,-129.8,0,-6934213.66,-746899.7094,-1314664.581,-1509963.4
1119,31174,12935,53764,38157,2407.3,0,-62.323,-1.2424,-1.728,-33.677,0,-806148.005,-65935.296,-66796.3936,-81070.6421
1121,83585,22374,134170,62788,6007.8,0,-120.08,-2.6802,-3.9663,-68.297,0,-2686669.92,-249036.0444,-359602.434,-410314.7166
1123,66163,18652,107360,53586,4807.1,0,-66.044,-1.4434,-2.4865,-39.794,0,-1231852.688,-133241.589,-154963.424,-191293.7374
1125,124750,29284,194630,82218,8714.7,0,-348.78,-7.7572,-11.639,-204.48,0,-10213673.52,-956935.302,-1509783.836,-1781981.856
1127,151910,30279,232920,83489,10429,0,-111.04,-2.4539,-3.7798,-66.177,0,-3362180.16,-315571.7222,-571562.388,-690159.933
1129,37396,13040,62670,38745,2806.1,0,-32.472,-0.60839,-1.0405,-19.453,0,-423434.88,-40314.1725,-38127.8013,-54587.0633
1131,34661,13297,59098,39378,2646.2,0,-22.246,-0.42602,-0.77014,-13.248,0,-295805.062,-30326.57292,-25176.92996,-35056.8576
1133,51607,17577,85174,49926,3813.8,0,-34.172,-0.72819,-1.1711,-19.538,0,-600641.244,-58468.3386,-62022.85506,-74514.0244
4001,11950,18557,38955,29769,1744.3,0,-254.55,-6.614,-6.7799,-130.7,0,-4723684.35,-201830.8431,-257648.37,-227980.01
4003,15865,15599,36897,23295,1652.1,0,-383.31,-7.7279,-10.969,-212.02,0,-5979252.69,-255522.855,-285136.3263,-350278.242
4005,14792,19614,43830,30746,1962.5,0,-439.09,-12.367,-12.563,-231.74,0,-8612311.26,-386261.998,-542045.61,-454789.75
4007,80532,34005,146280,44155,6549.9,0,-103.12,-2.2225,-3.7755,-63.048,0,-3506595.6,-166707.2025,-325107.3,-412958.0952
4009,13316,14788,32356,22382,1448.8,0,-78.774,-1.5578,-2.456,-48.593,0,-1164909.912,-54970.192,-50404.1768,-70401.5384
4011,13416,14788,32858,22619,1471.2,0,-10.542,-0.22231,-0.32216,-6.2014,0,-155895.096,-7286.93704,-7304.66198,-9123.49968
4012,18488,19540,68699,72387,3076.1,0,-143.75,-2.3758,-3.5667,-79.271,0,-2808875,-258182.7129,-163215.0842,-243845.5231
4013,190330,72574,314940,83397,14102,0,-2436.2,-100.37,0,-3225.3,0,-176804778.8,0,-31610527.8,-45483180.6
4015,28844,17293,55838,24395,2500.2,0,-547.11,-10.947,-16.951,-334.46,0,-9461173.23,-413519.645,-611258.586,-836216.892
4017,11428,17913,37227,28478,1666.9,0,-343.85,-8.4915,-9.7321,-183.67,0,-6159385.05,-277150.7438,-316113.0705,-306159.523
4019,64587,31027,115240,39557,5159.9,0,-1693.6,-30.934,-58.416,-997.98,0,-52547327.2,-2310761.712,-3564834.16,-5149477.002
4021,119500,41840,195810,48279,8767.6,0,-772.41,-14.043,-23.052,-488.63,0,-32317634.4,-1112927.508,-2749759.83,-4284112.388
4023,33141,19510,65343,27371,2925.8,0,-92.491,-1.8925,-2.8292,-53.396,0,-1804499.41,-77438.0332,-123661.6275,-156226.0168
4025,20402,19992,51475,30113,2304.8,0,-503,-10.957,-13.748,-278.27,0,-10055976,-413993.524,-564011.575,-641356.696
4027,14814,17845,59871,66531,2680.8,0,-364.47,-6.4381,-11.359,-233.22,0,-6503967.15,-755725.629,-385455.4851,-625216.176
5001,45230,18264,79759,52869,3571.3,0,-32.688,-0.59307,-1.1388,-16.193,0,-597013.632,-60207.2172,-47302.67013,-57830.0609
5003,37379,15877,67096,47286,3004.3,0,-33.206,-0.56222,-0.9917,-16.634,0,-527211.662,-46893.5262,-37722.71312,-49973.5262
5005,40587,18026,78641,55232,3521.2,0,-50.215,-1.0148,-1.9607,-23.831,0,-905175.59,-108293.3824,-79804.8868,-83913.7172
5007,63874,20549,113920,59130,5101,0,-258,-6.1533,-7.9948,-124.02,0,-5301642,-472732.524,-700983.936,-632626.02
5009,38479,17769,75245,54114,3369.2,0,-56.809,-1.1984,-1.7181,-26.871,0,-1009439.121,-92973.2634,-90173.608,-90533.7732
5011,29636,14833,55128,44445,2468.4,0,-17.587,-0.30775,-0.58065,-8.8139,0,-260867.971,-25806.98925,-16965.642,-21756.23076
5013,41676,16129,73642,47689,3297.4,0,-16.666,-0.27865,-0.45882,-8.1292,0,-268805.914,-21880.66698,-20520.3433,-26805.22408
5015,36683,17386,72031,52624,3225.2,0,-39.098,-0.77051,-1.1554,-17.787,0,-679757.828,-60801.7696,-55500.60581,-57366.6324
5017,33988,12702,57194,36473,2560.9,0,-26.053,-0.42809,-0.81896,-12.829,0,-330925.206,-29869.92808,-24484.17946,-32853.7861
5019,44299,16810,77646,49376,3476.7,0,-84.121,-1.4799,-2.1273,-36.611,0,-1414074.01,-105037.5648,-114908.3154,-127285.4637
5021,55703,19969,96189,56821,4307,0,-24.402,-0.46917,-0.67555,-11.36,0,-487283.538,-38385.42655,-45128.99313,-48927.52
5023,40862,16711,72269,48899,3235.9,0,-34.374,-0.66191,-1.1354,-16.172,0,-574423.914,-55519.9246,-47835.57379,-52330.9748
5025,30395,15183,56458,45306,2528,0,-19.163,-0.33011,-0.5162,-9.2456,0,-290951.829,-23386.9572,-18637.35038,-23372.8768
5027,30660,20032,69242,25613,3100.4,0,-40.985,-0.71488,-1.204,-20.505,0,-821011.52,-30838.052,-49499.72096,-63573.702
5029,52538,17873,89646,51150,4014,0,-77.275,-1.4451,-1.976,-33.659,0,-1381136.075,-101072.4,-129547.4346,-135107.226
5031,63033,20864,106530,59052,4770.1,0,-116.57,-2.5075,-3.6546,-57.281,0,-2432116.48,-215811.4392,-267123.975,-273236.0981
5033,39238,17471,75861,52756,3396.7,0,-125.59,-2.4505,-3.177,-54.911,0,-2194182.89,-167605.812,-185897.3805,-186516.1937
5035,177850,31761,271870,88051,12173,0,-152.95,-3.0337,-4.149,-70.156,0,-4857844.95,-365323.599,-824772.019,-854008.988
5037,53895,19388,92272,55804,4131.6,0,-27.221,-0.52258,-0.84748,-13.261,0,-527760.748,-47292.77392,-48219.50176,-54789.1476
5039,36118,15760,65199,46876,2919.4,0,-15.746,-0.26543,-0.43646,-7.6335,0,-248156.96,-20459.49896,-17305.77057,-22285.2399
5041,35949,16359,65223,48514,2920.4,0,-23.758,-0.41285,-0.80492,-11.757,0,-388657.122,-39049.88888,-26927.31555,-34335.1428
5043,37185,16151,67014,47888,3000.6,0,-31.894,-0.58281,-0.94628,-15.833,0,-515119.994,-45315.45664,-39056.42934,-47508.4998
5045,63039,19235,105930,55484,4743,0,-166.93,-3.4425,-4.8184,-79.724,0,-3210898.55,-267344.1056,-364664.025,-378130.932
5047,41744,17925,79756,53945,3571.2,0,-56.148,-1.0388,-1.3289,-23.701,0,-1006452.9,-71687.5105,-82850.5328,-84641.0112
5049,40696,16749,72180,48901,3231.9,0,-22.719,-0.4402,-0.6461,-10.476,0,-380520.531,-31594.9361,-31773.636,-33857.3844
5051,85589,21246,139980,61084,6267.8,0,-126.65,-2.4817,-4.1836,-63.233,0,-2690805.9,-255551.0224,-347388.366,-396331.7974
5053,42164,16646,74459,49194,3334,0,-28.773,-0.50896,-0.76967,-13.735,0,-478955.358,-37863.14598,-37896.65264,-45792.49
5055,58194,19914,99822,56668,4469.7,0,-50.119,-1.0419,-1.5333,-24.463,0,-998069.766,-86889.0444,-104004.5418,-109342.2711
5057,32993,19964,72111,25046,3228.9,0,-75.304,-1.3205,-1.9155,-33.735,0,-1503369.056,-47975.613,-95222.5755,-108926.9415
5059,72808,19523,120610,56489,5400.3,0,-95.523,-1.7012,-2.3801,-42.549,0,-1864895.529,-134449.4689,-205181.732,-229777.3647
5061,37328,15437,66258,44914,2966.8,0,-21.862,-0.37318,-0.61557,-10.517,0,-337483.694,-27647.71098,-24726.16044,-31201.8356
5063,41914,17431,74335,50859,3328.5,0,-53.612,-1.0499,-1.5528,-25.687,0,-934510.772,-78973.8552,-78044.3165,-85499.1795
5065,40413,16643,71689,48687,3210,0,-17.1,-0.32438,-0.47263,-7.9159,0,-284595.3,-23010.93681,-23254.47782,-25410.039
5067,44527,17843,78293,51932,3505.7,0,-34.267,-0.65696,-0.98812,-16.392,0,-611426.081,-51315.04784,-51435.36928,-57465.4344
5069,43663,17661,77114,51391,3452.9,0,-134.12,-2.5968,-3.997,-66.265,0,-2368693.32,-205409.827,-200249.6352,-228806.4185
5071,45887,17166,79749,48884,3570.9,0,-68.905,-1.3367,-1.7516,-29.981,0,-1182823.23,-85625.2144,-106600.4883,-107059.1529
